"","studentid","surveydate","age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
"1",18489,2018-01-27,26,25,26,4.71,71.76,1,"male","unempl","full-time","divorced"
"2",70237,2018-05-08,20,14,23,6.71,77.35,4,"male","unempl","full-time","single"
"3",57332,2018-03-02,28,21,18,6.43,59.58,3,"female","empl","part-time","divorced"
"4",16805,2018-02-21,22,20,16,6.86,47.28,3,"female","empl","part-time","single"
"5",94381,2018-04-06,29,20,17,6.71,53.33,4,"female","empl","part-time","divorced"
"6",94343,2018-04-06,23,15,21,6.86,69.22,1,"male","unempl","full-time","single"
"7",12916,2018-01-20,27,21,20,6.14,54.06,1,"male","unempl","full-time","divorced"
"8",83340,2018-02-16,28,23,23,5.43,69.63,1,"male","unempl","full-time","divorced"
"9",46799,2018-04-02,24,23,26,5,79.78,5,"male","unempl","full-time","single"
"10",54994,2018-04-10,23,22,21,5.86,61.17,5,"male","unempl","full-time","single"
"11",55262,2018-03-22,24,29,16,5.57,43.05,5,"female","empl","part-time","single"
"12",23887,2018-03-21,26,18,20,6.57,67.18,3,"male","unempl","full-time","divorced"
"13",76043,2018-03-26,23,17,25,6,78.24,1,"male","unempl","full-time","single"
"14",18080,2018-03-30,28,20,20,6.29,67.16,2,"male","unempl","full-time","divorced"
"15",40523,2018-05-18,24,20,18,6.57,59.8,4,"female","empl","part-time","single"
"16",85343,2018-05-12,24,22,17,6.43,44.95,1,"female","empl","part-time","single"
"17",97625,2018-01-18,27,21,15,6.86,45.55,5,"female","empl","part-time","divorced"
"18",22579,2018-04-22,22,23,17,6.29,45.41,2,"female","empl","part-time","single"
"19",44473,2018-05-22,26,25,20,5.57,58.77,5,"male","unempl","full-time","divorced"
"20",7497,2018-02-14,28,18,21,6.43,71.33,2,"male","unempl","full-time","divorced"
"21",66177,2018-02-06,25,19,18,6.71,63.43,4,"female","empl","part-time","single"
"22",38747,2018-01-03,28,26,17,5.86,38.67,1,"female","empl","part-time","divorced"
"23",83671,2018-01-21,23,25,20,5.57,62.56,5,"male","unempl","full-time","single"
"24",15047,2018-01-15,19,20,20,6.29,60.91,4,"male","unempl","full-time","single"
"25",34719,2018-02-07,20,25,11,6.86,28.02,3,"female","empl","part-time","single"
"26",48866,2018-05-06,23,18,16,7.14,52.72,4,"female","empl","part-time","single"
"27",14921,2018-04-05,18,23,17,6.29,57.26,5,"female","empl","part-time","single"
"28",35697,2018-05-24,18,19,21,6.29,67.48,5,"male","unempl","full-time","single"
"29",96238,2018-03-30,17,20,24,5.71,70.65,2,"male","unempl","full-time","single"
"30",13234,2018-04-30,26,17,21,6.57,72,1,"male","unempl","full-time","divorced"
"31",1042,2018-03-01,26,25,20,5.57,63.99,3,"male","unempl","full-time","divorced"
"32",16460,2018-02-28,23,23,17,6.29,51.68,3,"female","empl","part-time","single"
"33",80994,2018-01-27,27,22,26,5.14,76.81,3,"male","unempl","full-time","divorced"
"34",86858,2018-03-13,21,28,15,5.86,33.57,5,"female","empl","part-time","single"
"35",51411,2018-02-10,24,18,19,6.71,63.27,2,"female","empl","part-time","single"
"36",62698,2018-02-23,19,27,23,4.86,52.98,4,"male","unempl","full-time","single"
"37",84413,2018-05-21,25,26,22,5.14,61.35,3,"male","unempl","full-time","single"
"38",28477,2018-02-01,24,22,22,5.71,58.29,2,"male","unempl","full-time","single"
"39",66698,2018-04-02,17,22,19,6.14,48.18,5,"female","empl","part-time","single"
"40",15042,2018-02-02,28,17,22,6.43,71.33,3,"male","unempl","full-time","divorced"
"41",98134,2018-02-14,16,20,14,7.14,40.92,4,"female","empl","part-time","single"
"42",29689,2018-05-05,22,22,19,6.14,55.77,4,"female","empl","part-time","single"
"43",11504,2018-01-28,23,26,24,4.86,72.35,2,"male","unempl","full-time","single"
"44",16314,2018-04-01,32,19,27,5.43,87.13,2,"male","unempl","full-time","single"
"45",94363,2018-03-08,24,17,16,7.29,46.31,3,"female","empl","part-time","single"
"46",79451,2018-02-12,31,19,17,6.86,67.2,5,"female","empl","part-time","divorced"
"47",97424,2018-01-08,21,19,15,7.14,58.53,1,"female","empl","part-time","single"
"48",34893,2018-01-17,28,16,21,6.71,70.85,2,"male","unempl","full-time","divorced"
"49",50173,2018-02-19,23,23,21,5.71,59.64,3,"male","unempl","full-time","single"
"50",81001,2018-05-07,22,25,19,5.71,53.52,1,"female","empl","part-time","single"
"51",711,2018-02-06,27,18,19,6.71,70.49,3,"female","empl","part-time","divorced"
"52",1469,2018-02-03,27,23,21,5.71,65.13,5,"male","unempl","full-time","divorced"
"53",68305,2018-05-19,27,25,22,5.29,64.72,4,"male","unempl","full-time","divorced"
"54",92923,2018-06-06,28,20,16,6.86,48.55,3,"female","empl","part-time","divorced"
"55",27526,2018-05-14,20,21,25,5.43,75.02,2,"male","unempl","full-time","single"
"56",81142,2018-05-24,23,20,23,5.86,75.61,5,"male","unempl","full-time","single"
"57",78544,2018-03-16,21,19,21,6.29,62.34,2,"male","unempl","full-time","single"
"58",98834,2018-02-05,19,25,23,5.14,55.17,1,"male","unempl","full-time","single"
"59",61360,2018-01-21,29,23,21,5.71,64.23,5,"male","unempl","full-time","divorced"
"60",70977,2018-02-14,23,25,23,5.14,66.72,2,"male","unempl","full-time","single"
"61",76957,2018-05-09,30,15,17,7.43,71.4,5,"female","empl","part-time","divorced"
"62",88645,2018-01-10,28,22,21,5.86,66.34,3,"male","unempl","full-time","divorced"
"63",62474,2018-05-07,28,21,19,6.29,63.3,4,"female","empl","part-time","divorced"
"64",26014,2018-01-17,25,23,28,4.71,82.03,5,"male","unempl","full-time","single"
"65",85853,2018-05-02,26,24,18,6,57.23,4,"female","empl","part-time","divorced"
"66",43721,2018-02-18,32,21,16,6.71,52.33,5,"female","empl","part-time","divorced"
"67",38789,2018-05-02,22,19,21,6.29,68.5,1,"male","unempl","full-time","single"
"68",46120,2018-03-27,27,19,20,6.43,65.8,5,"male","unempl","full-time","divorced"
"69",21853,2018-02-27,27,20,18,6.57,64.24,4,"female","empl","part-time","divorced"
"70",6590,2018-01-15,29,22,22,5.71,75.99,5,"male","unempl","full-time","divorced"
"71",27551,2018-05-01,24,18,19,6.71,66.2,2,"female","empl","part-time","single"
"72",31017,2018-05-01,27,21,22,5.86,69.87,3,"male","unempl","full-time","divorced"
"73",4215,2018-05-23,25,20,17,6.71,58.56,5,"female","empl","part-time","single"
"74",18454,2018-06-02,28,20,22,6,68.59,3,"male","unempl","full-time","divorced"
"75",18324,2018-03-23,22,24,22,5.43,58.7,2,"male","unempl","full-time","single"
"76",75490,2018-03-28,31,17,19,6.86,69.6,2,"female","empl","part-time","divorced"
"77",28785,2018-01-26,31,20,18,6.57,54.06,5,"female","empl","part-time","divorced"
"78",86718,2018-01-27,27,18,19,6.71,67.9,4,"female","empl","part-time","divorced"
"79",40233,2018-05-05,23,20,22,6,59.53,1,"male","unempl","full-time","single"
"80",57224,2018-04-29,27,20,26,5.43,81.37,3,"male","unempl","full-time","divorced"
"81",35037,2018-05-04,27,19,27,5.43,90.08,3,"male","unempl","full-time","single"
"82",67146,2018-04-14,24,26,22,5.14,56.51,5,"male","unempl","full-time","single"
"83",2503,2018-03-01,31,23,19,6,54.99,3,"female","empl","part-time","divorced"
"84",40077,2018-01-02,21,25,21,5.43,61.42,3,"male","unempl","full-time","single"
"85",19981,2018-05-31,27,27,18,5.57,49.38,1,"female","empl","part-time","divorced"
"86",85580,2018-05-13,24,22,23,5.57,69.96,5,"male","unempl","full-time","single"
"87",97068,2018-02-03,20,22,20,6,56.67,2,"male","unempl","full-time","single"
"88",32345,2018-03-20,25,19,23,6,70.17,3,"male","unempl","full-time","single"
"89",73255,2018-04-11,23,22,15,6.71,32.7,3,"female","empl","part-time","married"
"90",33977,2018-05-26,27,26,15,6.14,43.25,3,"female","empl","part-time","divorced"
"91",97588,2018-01-02,28,17,19,6.86,66.69,2,"female","empl","part-time","divorced"
"92",39666,2018-02-12,21,19,18,6.71,63.17,1,"female","empl","part-time","single"
